json,location,@TempShift,transplant date,heating start date,heating end date,harvest end date,iteration,NPV,labour_costs,elec_costs,land costs,water costs,fertilizers costs,rockwool costs,seedlings costs,other_material costs,maintenance costs,subsidy payment,initial payment,cash inflow year 1,heating costs year 1,cash outflow year 1,net cash flow year 1,PV year 1,cash inflow year 2,heating costs year 2,cash outflow year 2,net cash flow year 2,PV year 2,cash inflow year 3,heating costs year 3,cash outflow year 3,net cash flow year 3,PV year 3,cash inflow year 4,heating costs year 4,cash outflow year 4,net cash flow year 4,PV year 4,cash inflow year 5,heating costs year 5,cash outflow year 5,net cash flow year 5,PV year 5,cash inflow year 6,heating costs year 6,cash outflow year 6,net cash flow year 6,PV year 6,cash inflow year 7,heating costs year 7,cash outflow year 7,net cash flow year 7,PV year 7,cash inflow year 8,heating costs year 8,cash outflow year 8,net cash flow year 8,PV year 8,cash inflow year 9,heating costs year 9,cash outflow year 9,net cash flow year 9,PV year 9,cash inflow year 10,heating costs year 10,cash outflow year 10,net cash flow year 10,PV year 10,cash inflow year 11,heating costs year 11,cash outflow year 11,net cash flow year 11,PV year 11,cash inflow year 12,heating costs year 12,cash outflow year 12,net cash flow year 12,PV year 12,cash inflow year 13,heating costs year 13,cash outflow year 13,net cash flow year 13,PV year 13,cash inflow year 14,heating costs year 14,cash outflow year 14,net cash flow year 14,PV year 14,cash inflow year 15,heating costs year 15,cash outflow year 15,net cash flow year 15,PV year 15,cash inflow year 16,heating costs year 16,cash outflow year 16,net cash flow year 16,PV year 16,cash inflow year 17,heating costs year 17,cash outflow year 17,net cash flow year 17,PV year 17,cash inflow year 18,heating costs year 18,cash outflow year 18,net cash flow year 18,PV year 18,cash inflow year 19,heating costs year 19,cash outflow year 19,net cash flow year 19,PV year 19,cash inflow year 20,heating costs year 20,cash outflow year 20,net cash flow year 20,PV year 20
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,1,237.56718480886292,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,330.717,135.111,213.592,117.125,110.3908706950703,336.398,135.111,213.592,122.805,109.09035128582133,345.347,135.111,213.592,131.755,110.3112813890279,341.246,135.111,213.592,127.654,100.73289497681871,331.89,135.111,213.592,118.297,87.98290164880436,324.019,135.111,213.592,110.427,77.40749400703942,317.3,135.111,213.592,103.708,68.51778142334516,324.716,135.111,213.592,111.123,69.1961859186608,327.84,135.111,213.592,114.248,67.05151116607317,342.606,135.111,213.592,129.013,71.36431208671216,343.746,135.111,213.592,130.154,67.85596951807631,345.115,135.111,213.592,131.522,64.62711262317319,346.652,135.111,213.592,133.059,61.623258265022244,343.317,135.111,213.592,129.724,56.624625591192526,349.311,135.111,213.592,135.718,55.835075395162455,337.02,135.111,213.592,123.428,47.859404219581876,342.304,135.111,213.592,128.712,47.03876942683011,339.813,135.111,213.592,126.22,43.476202222117934,341.778,135.111,213.592,128.186,41.61470107227554,336.04,135.111,213.592,122.448,37.466481878057365
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,2,58.878234353032205,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,308.412,127.762,206.244,102.168,96.29382079367835,306.731,127.762,206.244,100.487,89.26466566626829,304.712,127.762,206.244,98.467,82.44160571457792,309.121,127.762,206.244,102.877,81.18140005160636,308.525,127.762,206.244,102.281,76.07083088206186,308.844,127.762,206.244,102.599,71.92049256744981,308.971,127.762,206.244,102.727,67.86997159921384,312.109,127.762,206.244,105.864,65.9215001889006,311.641,127.762,206.244,105.397,61.85701949366698,310.906,127.762,206.244,104.662,57.894075851749186,313.721,127.762,206.244,107.477,56.03307961754698,314.37,127.762,206.244,108.126,53.13066882501718,318.416,127.762,206.244,112.172,51.9497250318575,314.17,127.762,206.244,107.926,47.10976604922379,320.019,127.762,206.244,113.775,46.80748076604263,322.631,127.762,206.244,116.387,45.12932411335976,331.176,127.762,206.244,124.931,45.65731285596048,322.93,127.762,206.244,116.685,40.19201471186522,331.529,127.762,206.244,125.284,40.67282754833332,336.909,127.762,206.244,130.664,39.980652024652144
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,3,-101.9898492532145,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,312.904,138.225,216.707,96.197,90.66641897702071,311.102,138.225,216.707,94.396,83.853768283433,306.061,138.225,216.707,89.354,74.8115970356139,307.496,138.225,216.707,90.789,71.6428759157889,302.631,138.225,216.707,85.924,63.905390470908685,299.525,138.225,216.707,82.819,58.054551859780204,299.132,138.225,216.707,82.425,54.45681521126456,303.475,138.225,216.707,86.769,54.030688614547664,304.382,138.225,216.707,87.676,51.45648427521714,296.361,138.225,216.707,79.654,44.061155943335336,298.951,138.225,216.707,82.244,42.878205080117155,294.287,138.225,216.707,77.58,38.12122988694196,306.003,138.225,216.707,89.296,41.3555251646225,311.135,138.225,216.707,94.429,41.21825245009541,321.325,138.225,216.707,104.619,43.04056614035364,328.527,138.225,216.707,111.82,43.35857398942914,332.043,138.225,216.707,115.336,42.15057117011635,332.559,138.225,216.707,115.853,39.905124961165676,338.61,138.225,216.707,121.904,39.57541683626169,340.79,138.225,216.707,124.083,37.96693848077187
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,4,-21.48547447097709,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,313.935,130.594,209.076,104.86,98.83105386938986,314.326,130.594,209.076,105.251,93.49643030301493,305.238,130.594,209.076,96.162,80.5116248807727,301.342,130.594,209.076,92.266,72.80845730316636,302.668,130.594,209.076,93.593,69.60894625367689,308.82,130.594,209.076,99.744,69.9189893073739,313.284,130.594,209.076,104.209,68.84865484841643,304.105,130.594,209.076,95.029,59.17457778723671,305.111,130.594,209.076,96.036,56.36294477485878,306.864,130.594,209.076,97.789,54.092301504839774,304.924,130.594,209.076,95.848,49.97052570584287,308.431,130.594,209.076,99.355,48.820871987746024,311.873,130.594,209.076,102.798,47.608428239301674,312.981,130.594,209.076,103.905,45.354638263103965,312.238,130.594,209.076,103.163,42.44160746193036,304.473,130.594,209.076,95.397,36.99053682488858,310.555,130.594,209.076,101.479,37.086554455394186,316.204,130.594,209.076,107.128,36.90004154890894,315.596,130.594,209.076,106.52,34.5811900492151,318.907,130.594,209.076,109.831,33.60615015994479
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,5,-327.5828685596079,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,310.843,173.414,251.896,58.947,55.558286955795865,310.404,173.414,251.896,58.508,51.973638094544256,315.963,173.414,251.896,64.067,53.639758435165476,321.598,173.414,251.896,69.702,55.00272539210339,320.444,173.414,251.896,68.548,50.98219984317184,324.769,173.414,251.896,72.874,51.083123679221686,325.496,173.414,251.896,73.6,48.62637443349861,325.17,173.414,251.896,73.274,45.62766478660415,325.142,173.414,251.896,73.246,42.98779297186799,323.847,173.414,251.896,71.951,39.80012709468629,327.193,173.414,251.896,75.298,39.25650946021868,325.365,173.414,251.896,73.469,36.10114361934277,332.184,173.414,251.896,80.289,37.18382080611426,330.966,173.414,251.896,79.07,34.51407129365879,335.731,173.414,251.896,83.835,34.49016928275399,333.187,173.414,251.896,81.291,31.52081479516525,339.184,173.414,251.896,87.288,31.900103981517688,339.048,173.414,251.896,87.153,30.019539069092144,341.96,173.414,251.896,90.064,29.238905555624175,354.551,173.414,251.896,102.655,31.4103618902447
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,6,162.76413439076634,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,321.395,132.887,211.369,110.027,103.70091922843318,321.317,132.887,211.369,109.948,97.66913244470712,323.713,132.887,211.369,112.345,94.06046487146412,328.54,132.887,211.369,117.171,92.46139039889775,326.59,132.887,211.369,115.222,85.69557010331593,328.676,132.887,211.369,117.307,82.2303361612272,328.851,132.887,211.369,117.482,77.61837930907318,328.725,132.887,211.369,117.356,73.0773556443961,335.656,132.887,211.369,124.287,72.94389897842625,333.018,132.887,211.369,121.65,67.2911111428078,324.314,132.887,211.369,112.945,58.88430912999691,332.882,132.887,211.369,121.513,59.70879030718509,328.005,132.887,211.369,116.636,54.01738331127965,329.646,132.887,211.369,118.277,51.628109435873625,330.178,132.887,211.369,118.81,48.878865236916965,330.324,132.887,211.369,118.956,46.12525407667712,327.445,132.887,211.369,116.077,42.42119597319554,331.849,132.887,211.369,120.481,41.49923351443226,325.592,132.887,211.369,114.223,37.08199528300684,323.371,132.887,211.369,112.002,34.270439839453886
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,7,-125.34005162256543,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,313.63,145.773,224.255,89.375,84.23629405554475,313.47,145.773,224.255,89.215,79.25155320733423,318.038,145.773,224.255,93.784,78.520000236239,313.617,145.773,224.255,89.362,70.5169791222542,316.548,145.773,224.255,92.294,68.64268324794763,318.376,145.773,224.255,94.121,65.97698940820517,318.246,145.773,224.255,93.991,62.098449117687174,319.96,145.773,224.255,95.705,59.59510712948675,318.923,145.773,224.255,94.668,55.560111672574415,315.786,145.773,224.255,91.531,50.63090468134392,312.61,145.773,224.255,88.355,46.06427201654814,311.272,145.773,224.255,87.017,42.75842252823585,309.339,145.773,224.255,85.084,39.404732699131095,310.398,145.773,224.255,86.143,37.60138815109412,311.557,145.773,224.255,87.302,35.91639859088519,315.447,145.773,224.255,91.192,35.35976339147923,311.84,145.773,224.255,87.585,32.00864031955233,313.013,145.773,224.255,88.758,30.572408960597166,317.507,145.773,224.255,93.252,30.273667302635356,316.324,145.773,224.255,92.069,28.17118253865891
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,8,348.6237619825316,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,315.406,113.539,192.021,123.385,116.29144549658221,317.575,113.539,192.021,125.554,111.5324370482639,308.698,113.539,192.021,116.677,97.68783555136527,317.812,113.539,192.021,125.791,99.2631416963157,325.249,113.539,192.021,133.228,99.08722216421818,321.94,113.539,192.021,129.919,91.07111014322264,326.83,113.539,192.021,134.809,89.0655542985638,332.679,113.539,192.021,140.658,87.58736391975364,335.35,113.539,192.021,143.329,84.11946162101073,344.644,113.539,192.021,152.623,84.42392692040711,345.146,113.539,192.021,153.125,79.83196741945424,331.215,113.539,192.021,139.194,68.39688887761442,326.694,113.539,192.021,134.673,62.370661678930134,329.524,113.539,192.021,137.503,60.01992446142651,327.521,113.539,192.021,135.5,55.745288656920046,324.015,113.539,192.021,131.994,51.18105446920354,316.95,113.539,192.021,124.929,45.65640546169495,316.585,113.539,192.021,124.564,42.905900961130854,319.204,113.539,192.021,127.183,41.28928905015759,321.431,113.539,192.021,129.41,39.59688208629625
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,9,-311.1112934053472,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,313.563,154.87,233.352,80.211,75.59928319672778,310.698,154.87,233.352,77.346,68.7082743025298,309.294,154.87,233.352,75.942,63.582391889356174,308.148,154.87,233.352,74.796,59.022731516722104,299.507,154.87,233.352,66.155,49.202102114257876,307.446,154.87,233.352,74.094,51.938861379876606,310.012,154.87,233.352,76.66,50.64785248843051,312.738,154.87,233.352,79.387,49.43384101469316,315.443,154.87,233.352,82.091,48.17885889917381,317.583,154.87,233.352,84.231,46.5927354085845,315.99,154.87,233.352,82.638,43.08362456552778,317.343,154.87,233.352,83.991,41.27116102446318,307.313,154.87,233.352,73.961,34.253542309851376,301.206,154.87,233.352,67.854,29.618384452695196,302.385,154.87,233.352,69.033,28.400641959274427,301.939,154.87,233.352,68.587,26.59476500166408,299.17,154.87,233.352,65.818,24.053652561601872,293.219,154.87,233.352,59.867,20.621190529414214,293.193,154.87,233.352,59.841,19.427133458572676,289.426,154.87,233.352,56.075,17.157678521235542
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,10,243.65573301111453,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,313.592,120.905,199.387,114.205,107.63896839199826,322.199,120.905,199.387,122.812,109.09652542611859,318.668,120.905,199.387,119.281,99.86768720954812,326.504,120.905,199.387,127.117,100.30967104633248,314.898,120.905,199.387,115.511,85.91045685266295,311.878,120.905,199.387,112.491,78.85453976212844,310.314,120.905,199.387,110.927,73.28767106678755,307.104,120.905,199.387,107.717,67.07537693351019,316.289,120.905,199.387,116.903,68.60973502453416,324.823,120.905,199.387,125.437,69.38577176800972,323.273,120.905,199.387,123.886,64.58811364353221,328.79,120.905,199.387,129.403,63.58584255874061,328.825,120.905,199.387,129.438,59.94644043042423,330.386,120.905,199.387,130.999,57.18120127092398,333.828,120.905,199.387,134.442,55.30994230089604,334.279,120.905,199.387,134.892,52.30468817911311,328.851,120.905,199.387,129.464,47.31365156603959,339.117,120.905,199.387,139.731,48.129842415401534,344.411,120.905,199.387,145.024,47.08115487704547,351.941,120.905,199.387,152.554,46.67845228736741
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,11,-0.6208476808552774,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,317.693,150.969,229.451,88.242,83.16877232113515,322.304,150.969,229.451,92.853,82.4832894988788,331.4,150.969,229.451,101.949,85.35664200768313,332.761,150.969,229.451,103.309,81.52262647575978,333.859,150.969,229.451,104.408,77.65288499639816,333.874,150.969,229.451,104.423,73.19877214902036,336.452,150.969,229.451,107.001,70.6935441979526,333.418,150.969,229.451,103.967,64.73996037219021,327.238,150.969,229.451,97.787,57.39102826788404,326.571,150.969,229.451,97.12,53.722126094357115,333.803,150.969,229.451,104.351,54.40376401842575,333.339,150.969,229.451,103.887,51.0479675499244,335.717,150.969,229.451,106.266,49.214487430762404,331.568,150.969,229.451,102.117,44.57421101549573,332.726,150.969,229.451,103.275,42.48761681992782,339.11,150.969,229.451,109.659,42.52031951684337,340.961,150.969,229.451,111.509,40.75208087697275,332.616,150.969,229.451,103.165,35.534875260625164,334.94,150.969,229.451,105.489,34.24634463945423,337.85,150.969,229.451,108.399,33.16783880945376
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,12,177.47901021843057,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,308.182,124.79,203.272,104.91,98.87848608029303,313.86,124.79,203.272,110.588,98.23731716292347,313.514,124.79,203.272,110.242,92.29976149494081,312.324,124.79,203.272,109.052,86.0540216480795,314.604,124.79,203.272,111.332,82.80262363890785,316.801,124.79,203.272,113.529,79.58178771613721,326.778,124.79,203.272,123.506,81.59837624501807,322.703,124.79,203.272,119.431,74.36926285930272,330.971,124.79,203.272,127.699,74.94615846401531,330.336,124.79,203.272,127.064,70.28581116779549,328.95,124.79,203.272,125.678,65.52245635424838,333.909,124.79,203.272,130.637,64.19190263914898,333.937,124.79,203.272,130.665,60.51437948042954,334.755,124.79,203.272,131.483,57.39216564587949,334.574,124.79,203.272,131.302,54.01841475765706,329.674,124.79,203.272,126.402,49.01243555448935,323.787,124.79,203.272,120.515,44.043446983292945,312.315,124.79,203.272,109.043,37.55953776956861,304.572,124.79,203.272,101.3,32.886545075370705,307.149,124.79,203.272,103.877,31.78411948093226
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,13,8.961006651233763,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,310.737,117.252,195.734,115.002,108.39065593548808,314.875,117.252,195.734,119.141,105.83545674801645,296.264,117.252,195.734,100.53,84.16882167843501,296.524,117.252,195.734,100.79,79.53479172068569,295.986,117.252,195.734,100.252,74.56142463997763,300.433,117.252,195.734,104.699,73.39206795721,305.2,117.252,195.734,109.466,72.32196671695955,300.304,117.252,195.734,104.57,65.11546271501209,292.028,117.252,195.734,96.294,56.51464218938893,299.555,117.252,195.734,103.821,57.429195439221374,299.301,117.252,195.734,103.567,53.99497965863004,302.707,117.252,195.734,106.973,52.56407605550689,305.513,117.252,195.734,109.779,50.84147976881931,302.257,117.252,195.734,106.523,46.49729543285143,295.865,117.252,195.734,100.131,41.194222412903635,288.044,117.252,195.734,92.31,35.79319053162811,281.074,117.252,195.734,85.34,31.188221106773018,281.042,117.252,195.734,85.307,29.38395369876226,274.649,117.252,195.734,78.915,25.619323134560105,271.294,117.252,195.734,75.56,23.119779110404256
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,14,-29.272932948059676,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,317.835,126.909,205.391,112.444,105.97914080513513,324.761,126.909,205.391,119.37,106.03886998517208,321.88,126.909,205.391,116.489,97.52976607307532,320.167,126.909,205.391,114.776,90.57101525555272,318.644,126.909,205.391,113.253,84.23090646606464,313.296,126.909,205.391,107.905,75.63951896731221,312.88,126.909,205.391,107.489,71.01577617762483,310.811,126.909,205.391,105.42,65.64480932180389,303.066,126.909,205.391,97.675,57.325215387269346,298.864,126.909,205.391,93.473,51.70481751116385,293.899,126.909,205.391,88.508,46.144016745819584,287.552,126.909,205.391,82.161,40.371871124201064,289.747,126.909,205.391,84.356,39.06741905253156,286.782,126.909,205.391,81.391,35.52723197082802,286.416,126.909,205.391,81.025,33.334052310723294,282.67,126.909,205.391,77.279,29.965183615968236,283.266,126.909,205.391,77.875,28.459938214269872,281.867,126.909,205.391,76.476,26.341837338729214,276.392,126.909,205.391,71.001,23.050100884218036,274.956,126.909,205.391,69.565,21.285579844477283
v4,Langfang,1,15/Sep,25/Oct,13/Apr,10/Jul,15,-228.51738215345677,17.852845313184,4.203068571526001,0.626,3.33,7.15,11.88,1.38,3.26,28.8,0.0,1158.5,312.435,135.218,213.7,98.736,93.05905581172196,318.902,135.218,213.7,105.203,93.4536219059149,319.185,135.218,213.7,105.486,88.31761765393068,316.51,135.218,213.7,102.81,81.12891868947852,307.507,135.218,213.7,93.807,69.76866310541145,308.133,135.218,213.7,94.433,66.19629800206702,307.297,135.218,213.7,93.598,61.83843985428758,301.185,135.218,213.7,87.486,54.47708370089739,296.361,135.218,213.7,82.662,48.51398329570539,291.273,135.218,213.7,77.573,42.90988158786716,282.616,135.218,213.7,68.917,35.92990123184765,282.813,135.218,213.7,69.113,33.96080833249504,279.651,135.218,213.7,65.951,30.54390429452044,277.095,135.218,213.7,63.396,27.672161579673997,275.806,135.218,213.7,62.106,25.55088410052232,267.455,135.218,213.7,53.755,20.843687358068294,261.298,135.218,213.7,47.599,17.395325689045016,262.158,135.218,213.7,48.458,16.69128487618793,250.093,135.218,213.7,36.393,11.81487282399147,246.108,135.218,213.7,32.408,9.916223952909114
