,Jan,Feb,Mar,Apr,Oct,Nov,Dec
0,4.645639476,4.583469792,4.023538869,3.73516594,4.563197192,5.355169457,5.092491106
1,4.322417934,4.268670508,4.02650312,4.212983501,3.552730526,7.085441076,3.495216328
2,4.366513067,6.529176403,4.713867895,4.043167626,5.492752113,4.109198586,4.951888897
3,4.650844645,5.950596669,3.247172809,3.36611982,5.922137695,5.759184815,3.416592887
4,6.370859722,5.837674254,3.524591803,3.4507999,4.706996361,7.725361157,5.926721066
5,3.897850642,5.351625278,4.590589499,3.764347951,6.058754715,5.732830158,4.736672918
6,5.857844314,3.598999929,4.184729473,4.195065255,4.924292837,6.11209978,4.434802638
7,3.476760551,4.482345278,3.36059294,3.88251075,4.253513476,4.756496009,4.18519043
8,5.757718203,3.751373284,4.969177755,4.023787438,4.09282505,3.743263127,8.106023648
9,3.100034404,4.902691496,3.850932448,3.88203665,7.286425976,4.904225139,5.113618335
10,5.326748019,4.702300986,4.174214717,3.626693483,4.374838141,4.529007953,7.313614569
11,3.797224406,3.718129695,3.632289838,3.993810624,3.132387232,4.109539314,7.230164406
12,3.728211394,6.456212049,4.325532479,3.09016088,3.773273008,3.981424965,3.409003978
13,5.350401515,3.947506896,4.02067054,3.979980571,3.543622855,3.828251128,3.866256498
14,4.555974334,5.183468188,3.784685238,4.267427306,6.496335488,3.822743253,5.944021682
15,5.641369761,4.881868084,5.159871619,3.531326865,4.635989526,4.106171323,3.516599452
16,3.900821795,5.75875677,3.276173074,3.602536178,4.468405495,4.277587959,4.436607164
17,4.053803015,3.357495035,4.228520247,3.489746269,4.830131203,5.543170121,6.646975115
18,4.928687158,5.18153762,3.843624947,3.296248969,3.35029262,4.331561567,3.578756991
19,3.554669968,4.136232992,3.431967454,3.540867186,3.57131685,4.102290675,4.594650996
20,4.751004786,4.194768778,3.693923992,3.715647264,4.543914287,5.878772735,6.028685423
21,3.356858623,4.110444314,4.031211673,3.177405462,3.092499275,3.977264164,4.407513673
22,3.866338928,5.636689079,3.524743317,3.811236246,3.222343061,6.378249477,4.927346964
23,4.564457275,5.404288529,3.688390171,4.060668596,3.480911176,6.214556985,7.455601151
24,6.306163647,3.3149058,3.461693939,3.441056324,5.063834041,3.945955831,5.299534007
25,5.741472528,4.427815689,4.053913222,3.731252747,4.416051205,7.210904149,6.344497463
26,4.081743533,5.580372135,3.359414788,3.357608201,3.312618384,4.567479454,6.860814063
27,4.342545835,4.227168452,3.760635249,3.462242158,4.994345992,4.589919504,4.606260406
28,5.177646395,6.750875397,3.354710802,3.599048663,5.378006956,5.543634198,5.724409786
29,5.710764156,4.086854163,4.194755663,3.599145137,3.722371766,5.038054953,6.647373532
30,4.910223443,3.930700838,3.523242457,3.836763119,6.337535144,5.407597902,3.563468803
31,4.035812187,3.347776353,4.112324764,3.295155186,4.957432399,5.332377204,3.574352203
32,5.687743603,4.121905914,3.593614585,4.03398293,5.829164187,6.254806849,4.82528731
33,3.95692707,3.599269146,4.222459022,3.933678913,5.787416349,5.591539454,6.219904401
34,3.304221061,3.833600259,4.098545771,3.364839897,2.940792776,7.405995224,3.463809427
35,4.418726338,6.180955591,3.426079841,3.900520075,5.652871618,3.9633478,7.115439664
36,5.175934599,3.498043091,3.615148515,3.273796303,4.613326006,3.795933548,3.275088187
37,6.18073099,3.704194958,4.121649969,3.754756521,3.274608557,5.271003899,5.727931415
