Iter,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,12.975000000000001,11.385,10.05,12.165,14.715,11.100000000000001,12.315000000000001,12.75,14.129999999999999,15.375,17.94,19.950000000000003
1,12.899999999999999,10.86,9.375,10.485,14.085,10.395,12.75,12.39,14.399999999999999,14.91,19.02,16.935
2,11.774999999999999,11.145,8.67,11.850000000000001,12.434999999999999,11.175,12.075000000000001,12.105,13.5,14.46,18.27,20.669999999999998
3,12.99,11.399999999999999,9.66,10.08,13.365,11.43,11.76,12.465,14.16,14.76,16.740000000000002,19.47
4,12.03,11.43,9.18,11.370000000000001,13.29,10.785,11.459999999999999,13.200000000000001,14.399999999999999,14.294999999999998,18.330000000000002,18.63
5,12.24,11.01,10.695,10.89,13.620000000000001,12.465,11.31,12.495000000000001,14.309999999999999,14.865,16.845,18.525
6,11.834999999999999,11.55,9.705,10.575,12.0,12.120000000000001,12.419999999999998,11.94,15.254999999999999,14.79,19.98,19.23
7,12.93,10.935,9.629999999999999,11.235,13.049999999999999,11.625,11.805,11.805,14.850000000000001,15.51,17.31,18.555
8,12.044999999999998,11.73,8.76,10.32,12.120000000000001,12.915,12.75,14.145,14.715,15.765,16.845,20.355
9,12.0,11.024999999999999,9.120000000000001,11.024999999999999,13.305,11.370000000000001,10.98,12.555,14.04,14.64,18.345,20.205000000000002
10,12.735,11.55,8.925,11.024999999999999,13.934999999999999,11.235,11.955,12.899999999999999,14.190000000000001,14.97,18.18,19.740000000000002
11,12.96,11.024999999999999,9.405,9.675,13.544999999999998,11.459999999999999,11.52,13.02,14.46,14.355,17.1,18.299999999999997
12,12.254999999999999,10.83,9.72,10.155,14.01,10.8,11.805,12.765,13.665,17.085,17.325000000000003,19.11
13,11.61,11.565,9.600000000000001,11.25,14.385,11.91,12.54,13.350000000000001,15.149999999999999,14.370000000000001,17.174999999999997,17.625
14,12.855,11.22,9.69,10.995000000000001,12.299999999999999,11.7,10.995000000000001,12.96,13.830000000000002,15.84,17.669999999999998,18.72
15,11.834999999999999,11.355,9.540000000000001,10.77,13.695,10.68,11.205,12.195,13.995000000000001,14.76,17.655,19.005
16,12.075000000000001,10.395,9.345,11.055,12.78,11.295,11.325,13.14,13.68,15.165,17.205000000000002,19.125
17,12.149999999999999,10.215,9.885,11.61,14.190000000000001,12.629999999999999,11.745000000000001,12.629999999999999,14.28,14.79,19.605,19.695
18,12.044999999999998,12.299999999999999,9.555,11.100000000000001,13.815000000000001,11.955,12.36,13.080000000000002,13.965,14.64,18.48,19.065
19,12.120000000000001,10.995000000000001,9.36,10.815,13.169999999999998,11.49,12.36,13.184999999999999,14.355,14.07,16.544999999999998,18.93
20,12.495000000000001,11.28,9.78,9.84,12.870000000000001,11.925,12.315000000000001,12.254999999999999,14.52,15.375,18.09,18.285
21,11.97,11.115,10.08,10.395,14.01,10.709999999999999,11.7,12.705000000000002,14.924999999999999,15.075000000000001,17.31,19.89
22,11.955,10.425,10.095,10.905,13.245000000000001,11.084999999999999,12.299999999999999,12.195,14.595,14.700000000000001,17.85,18.509999999999998
23,12.375,11.19,9.27,11.504999999999999,13.98,11.07,11.61,12.165,13.32,16.32,17.535,19.275
24,12.735,10.785,9.48,10.53,12.885,10.86,12.105,13.02,13.125,15.24,18.375,20.325000000000003
25,12.120000000000001,11.7,9.24,10.725000000000001,12.945,11.504999999999999,11.475000000000001,13.919999999999998,12.855,15.690000000000001,17.07,18.509999999999998
26,12.105,10.17,9.93,11.355,13.395,11.774999999999999,11.790000000000001,11.805,13.665,15.524999999999999,17.955000000000002,17.580000000000002
27,12.705000000000002,11.024999999999999,9.885,11.22,13.68,11.595,11.715,12.99,14.73,15.93,18.285,19.035
28,12.24,12.03,9.495000000000001,10.53,13.575000000000001,12.434999999999999,11.985,12.66,13.649999999999999,14.73,18.03,16.56
29,11.774999999999999,11.535,10.455,9.945,13.995000000000001,11.879999999999999,12.225000000000001,13.365,14.715,14.43,17.715,18.165
30,11.295,11.955,9.18,11.265,13.485,11.790000000000001,10.875,13.77,14.28,14.325000000000001,19.11,18.794999999999998
31,11.774999999999999,11.01,9.645,10.620000000000001,13.41,11.22,11.385,13.934999999999999,13.725000000000001,15.03,18.06,18.585
32,11.805,11.685,9.870000000000001,11.055,14.024999999999999,11.94,12.600000000000001,13.815000000000001,14.024999999999999,14.61,17.25,20.37
33,11.82,10.350000000000001,8.94,10.74,13.41,11.76,11.73,14.024999999999999,14.129999999999999,15.39,17.64,18.15
34,12.135,10.785,8.925,10.785,13.32,10.935,11.955,13.424999999999999,14.504999999999999,15.405,18.435,18.27
35,10.95,10.965,9.27,10.56,12.66,12.059999999999999,12.434999999999999,13.53,13.665,15.585,17.865000000000002,17.685
36,12.375,11.955,9.39,11.61,13.169999999999998,11.22,11.625,12.899999999999999,13.29,15.254999999999999,17.34,17.595
37,11.97,11.52,9.765,10.365,14.49,12.149999999999999,11.955,12.57,14.82,14.52,18.255,19.755
38,12.555,11.01,9.675,11.16,14.355,12.495000000000001,11.55,12.105,14.024999999999999,14.985,17.43,17.235
39,12.78,11.295,9.555,11.084999999999999,13.919999999999998,12.915,10.77,11.415000000000001,14.61,15.225000000000001,17.685,19.365000000000002
40,11.67,11.115,9.315,11.49,12.39,11.370000000000001,13.049999999999999,13.125,14.655,15.825000000000001,17.865000000000002,18.93
41,11.850000000000001,11.235,9.72,10.56,13.905,11.07,11.715,13.305,13.395,14.43,17.355,17.865000000000002
42,12.27,11.100000000000001,9.899999999999999,11.790000000000001,13.395,11.504999999999999,12.66,13.29,13.89,15.465,17.445,18.299999999999997
43,12.135,10.709999999999999,9.45,10.754999999999999,14.085,11.399999999999999,12.075000000000001,14.024999999999999,15.015,14.79,17.535,19.095
44,11.58,11.850000000000001,10.17,10.215,12.629999999999999,10.709999999999999,12.809999999999999,12.885,14.16,15.48,17.025,18.555
45,12.015,11.31,9.435,10.92,12.75,10.23,11.955,12.330000000000002,14.445,15.735,17.805,18.93
46,12.330000000000002,11.805,9.975000000000001,10.620000000000001,13.799999999999999,11.535,11.76,12.51,14.129999999999999,15.690000000000001,17.115000000000002,18.72
47,11.535,11.850000000000001,10.02,11.355,12.885,12.585,11.25,13.32,13.995000000000001,14.684999999999999,16.68,19.65
48,11.445,10.635,9.33,11.565,13.440000000000001,12.21,10.68,13.26,15.285,14.82,19.725,17.85
49,11.43,10.754999999999999,9.915000000000001,11.955,12.645,11.745000000000001,11.985,12.975000000000001,14.190000000000001,16.335,18.945,18.48
50,11.145,11.16,9.345,10.274999999999999,14.43,11.370000000000001,11.385,13.47,13.350000000000001,14.174999999999999,17.924999999999997,19.44
51,11.834999999999999,11.235,10.17,10.334999999999999,13.605,11.595,11.61,12.195,13.965,16.89,17.4,18.195
