Iter,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,11.745000000000001,13.23,13.23,12.254999999999999,9.825,6.449999999999999,8.955,9.06,9.885,11.265,12.93,14.595
1,11.67,12.629999999999999,12.345,10.56,9.405,6.029999999999999,9.27,8.805,10.08,10.935,13.71,12.39
2,10.649999999999999,12.96,11.415000000000001,11.955,8.295,6.495,8.774999999999999,8.595,9.45,10.59,13.169999999999998,15.120000000000001
3,11.76,13.245000000000001,12.72,10.155,8.925,6.645,8.55,8.850000000000001,9.915000000000001,10.815,12.059999999999999,14.235
4,10.89,13.29,12.075000000000001,11.475000000000001,8.865,6.255,8.325,9.375,10.08,10.47,13.200000000000001,13.620000000000001
5,11.084999999999999,12.794999999999998,14.07,10.98,9.09,7.245,8.22,8.865,10.02,10.89,12.135,13.544999999999998
6,10.709999999999999,13.424999999999999,12.78,10.649999999999999,8.01,7.035,9.03,8.49,10.68,10.83,14.399999999999999,14.055
7,11.7,12.705000000000002,12.674999999999999,11.325,8.715,6.75,8.58,8.385,10.395,11.355,12.465,13.575000000000001
8,10.905,13.635,11.52,10.41,8.084999999999999,7.5,9.254999999999999,10.05,10.290000000000001,11.55,12.135,14.879999999999999
9,10.86,12.809999999999999,12.015,11.115,8.895,6.6000000000000005,7.98,8.91,9.825,10.725000000000001,13.215,14.774999999999999
10,11.52,13.41,11.76,11.115,9.3,6.5249999999999995,8.685,9.165000000000001,9.93,10.965,13.095,14.43
11,11.73,12.825000000000001,12.375,9.765,9.045,6.645,8.370000000000001,9.254999999999999,10.125,10.515,12.315000000000001,13.379999999999999
12,11.100000000000001,12.585,12.794999999999998,10.245000000000001,9.36,6.27,8.58,9.075,9.555,12.51,12.48,13.98
13,10.5,13.440000000000001,12.629999999999999,11.34,9.600000000000001,6.915000000000001,9.120000000000001,9.48,10.605,10.53,12.375,12.885
14,11.64,13.035,12.765,11.084999999999999,8.205,6.795,7.995,9.209999999999999,9.675,11.61,12.735,13.695
15,10.709999999999999,13.200000000000001,12.57,10.86,9.149999999999999,6.195,8.145,8.67,9.795,10.815,12.72,13.905
16,10.92,12.075000000000001,12.315000000000001,11.145,8.535,6.555,8.235,9.33,9.57,11.115,12.39,13.995000000000001
17,10.995000000000001,11.879999999999999,13.02,11.7,9.48,7.334999999999999,8.535,8.97,10.004999999999999,10.83,14.115,14.399999999999999
18,10.905,14.294999999999998,12.585,11.19,9.225000000000001,6.945,8.985,9.285,9.78,10.725000000000001,13.32,13.934999999999999
19,10.965,12.78,12.330000000000002,10.905,8.790000000000001,6.675000000000001,8.985,9.36,10.05,10.305,11.925,13.845
20,11.295,13.11,12.870000000000001,9.915000000000001,8.595,6.93,8.955,8.715,10.155,11.265,13.035,13.365
21,10.83,12.93,13.26,10.47,9.36,6.2250000000000005,8.504999999999999,9.015,10.44,11.055,12.48,14.549999999999999
22,10.815,12.120000000000001,13.29,10.995000000000001,8.834999999999999,6.4350000000000005,8.94,8.655,10.215,10.77,12.855,13.53
23,11.19,13.004999999999999,12.21,11.595,9.33,6.42,8.43,8.64,9.33,11.955,12.629999999999999,14.100000000000001
24,11.52,12.524999999999999,12.48,10.605,8.595,6.300000000000001,8.805,9.24,9.18,11.16,13.245000000000001,14.865
25,10.98,13.605,12.165,10.815,8.64,6.675000000000001,8.34,9.885,8.985,11.49,12.299999999999999,13.53
26,10.965,11.834999999999999,13.080000000000002,11.459999999999999,8.955,6.84,8.565,8.385,9.57,11.370000000000001,12.93,12.855
27,11.504999999999999,12.809999999999999,13.02,11.31,9.135,6.735,8.504999999999999,9.225000000000001,10.305,11.67,13.169999999999998,13.919999999999998
28,11.084999999999999,13.98,12.51,10.620000000000001,9.075,7.215,8.715,9.0,9.540000000000001,10.785,12.99,12.120000000000001
29,10.649999999999999,13.41,13.77,10.02,9.345,6.8999999999999995,8.879999999999999,9.495000000000001,10.305,10.575,12.765,13.29
30,10.23,13.905,12.09,11.355,9.0,6.84,7.904999999999999,9.78,9.99,10.485,13.77,13.754999999999999
31,10.649999999999999,12.794999999999998,12.705000000000002,10.709999999999999,8.955,6.51,8.28,9.899999999999999,9.615,11.01,13.004999999999999,13.59
32,10.68,13.575000000000001,13.004999999999999,11.145,9.375,6.93,9.165000000000001,9.825,9.81,10.709999999999999,12.434999999999999,14.895
33,10.695,12.03,11.76,10.83,8.955,6.824999999999999,8.52,9.959999999999999,9.885,11.265,12.705000000000002,13.274999999999999
34,10.98,12.54,11.745000000000001,10.875,8.895,6.345000000000001,8.7,9.524999999999999,10.155,11.28,13.29,13.365
35,9.915000000000001,12.75,12.21,10.649999999999999,8.459999999999999,7.005,9.03,9.615,9.57,11.415000000000001,12.870000000000001,12.93
36,11.205,13.905,12.36,11.7,8.805,6.51,8.445,9.165000000000001,9.3,11.175,12.495000000000001,12.870000000000001
37,10.83,13.395,12.855,10.455,9.675,7.050000000000001,8.685,8.925,10.365,10.635,13.155,14.46
38,11.370000000000001,12.794999999999998,12.735,11.265,9.584999999999999,7.26,8.399999999999999,8.595,9.81,10.98,12.555,12.600000000000001
39,11.565,13.125,12.57,11.175,9.3,7.5,7.83,8.100000000000001,10.23,11.16,12.75,14.16
40,10.56,12.915,12.254999999999999,11.595,8.28,6.6000000000000005,9.48,9.33,10.26,11.595,12.870000000000001,13.845
41,10.725000000000001,13.049999999999999,12.809999999999999,10.635,9.285,6.42,8.52,9.45,9.375,10.575,12.51,13.065000000000001
42,11.115,12.899999999999999,13.035,11.895,8.955,6.675000000000001,9.209999999999999,9.435,9.72,11.325,12.57,13.379999999999999
43,10.995000000000001,12.450000000000001,12.434999999999999,10.845,9.405,6.615,8.774999999999999,9.959999999999999,10.5,10.83,12.629999999999999,13.965
44,10.485,13.77,13.379999999999999,10.290000000000001,8.43,6.209999999999999,9.315,9.149999999999999,9.899999999999999,11.34,12.27,13.559999999999999
45,10.875,13.14,12.434999999999999,11.01,8.52,5.9399999999999995,8.7,8.76,10.11,11.535,12.825000000000001,13.845
46,11.145,13.725000000000001,13.14,10.709999999999999,9.209999999999999,6.6899999999999995,8.55,8.879999999999999,9.885,11.49,12.330000000000002,13.695
47,10.44,13.77,13.200000000000001,11.445,8.61,7.305,8.175,9.465,9.795,10.754999999999999,12.015,14.370000000000001
48,10.365,12.36,12.285,11.655,8.985,7.095000000000001,7.755,9.42,10.695,10.86,14.22,13.049999999999999
49,10.334999999999999,12.495000000000001,13.049999999999999,12.044999999999998,8.445,6.824999999999999,8.715,9.209999999999999,9.93,11.97,13.649999999999999,13.515
50,10.08,12.975000000000001,12.299999999999999,10.365,9.629999999999999,6.6000000000000005,8.265,9.57,9.345,10.379999999999999,12.915,14.22
51,10.709999999999999,13.049999999999999,13.395,10.425,9.09,6.735,8.445,8.67,9.765,12.375,12.54,13.305
52,11.115,12.225000000000001,12.794999999999998,10.709999999999999,9.045,6.87,9.09,9.39,9.72,11.805,12.600000000000001,14.61
53,10.965,13.68,11.459999999999999,10.785,9.465,7.5,8.370000000000001,9.435,8.955,10.905,12.600000000000001,13.29
54,9.93,12.345,12.705000000000002,10.425,9.3,6.9750000000000005,7.995,8.415000000000001,10.2,10.709999999999999,13.245000000000001,13.799999999999999
55,10.05,12.93,11.61,11.25,9.149999999999999,6.63,8.58,9.27,10.334999999999999,10.875,13.815000000000001,12.93
56,10.334999999999999,13.350000000000001,13.305,10.86,8.94,6.255,8.475000000000001,9.51,9.645,10.92,13.245000000000001,14.97
57,10.8,12.870000000000001,11.67,10.709999999999999,9.675,7.4399999999999995,7.545,9.435,10.725000000000001,10.2,12.690000000000001,12.765
58,10.485,11.73,12.195,11.115,8.34,6.93,8.19,8.504999999999999,9.69,11.7,12.945,12.915
59,10.02,13.32,12.899999999999999,10.290000000000001,9.315,6.375,8.100000000000001,9.870000000000001,9.42,9.945,12.54,13.440000000000001
60,10.395,12.645,13.335,10.485,8.22,7.154999999999999,8.865,9.285,9.93,10.5,12.285,13.23
61,10.649999999999999,13.26,12.66,11.655,9.135,6.959999999999999,8.175,8.58,9.915000000000001,10.47,12.765,14.325000000000001
62,10.86,12.674999999999999,12.495000000000001,11.685,8.459999999999999,7.035,7.98,9.225000000000001,9.629999999999999,11.865,12.899999999999999,13.950000000000001
63,9.795,13.649999999999999,12.674999999999999,10.8,9.045,6.375,8.7,8.43,9.24,11.19,12.78,13.14
